duration,man_dist,Month,Day,Date,Hour,pickup_region,dropoff_region
1030,21.291800000000023,6,4,22,19,1,7
570,35.767199999999974,5,1,15,8,50,54
2180,57.07930000000002,4,4,6,12,22,39
2832,10.316099999999977,5,4,18,14,26,65
90,16.59080000000006,7,6,1,5,15,43
326,13.026000000000039,3,0,12,12,65,1
156,8.419299999999993,6,5,30,12,50,48
2470,85.76780000000002,6,5,9,21,62,79
484,25.664200000000022,4,2,25,21,7,18
886,35.35669999999999,3,6,18,15,76,6
342,25.027600000000035,3,4,30,19,29,53
483,22.00309999999999,7,6,1,13,31,75
666,27.64590000000001,1,0,22,22,39,64
275,3.735500000000002,6,6,10,12,46,70
594,44.9804,2,4,9,7,56,6
577,27.50830000000002,4,6,1,23,26,77
543,17.020399999999995,4,4,20,11,44,73
846,36.49690000000001,3,1,6,18,11,17
207,10.12870000000001,2,2,14,13,77,24
76,6.813499999999976,6,6,24,14,57,57
302,14.219099999999997,3,5,24,21,34,8
306,11.368099999999941,1,4,19,14,54,67
277,16.9717,5,3,24,10,7,42
1509,89.10600000000002,4,0,2,14,22,57
312,20.50970000000001,6,2,27,9,36,76
317,12.080199999999962,3,4,9,20,5,41
404,27.58880000000002,6,3,7,22,26,9
591,58.65599999999998,6,3,7,20,40,58
1082,31.846199999999982,6,0,18,19,21,51
277,23.928500000000014,2,1,13,18,36,20
712,42.36959999999996,5,5,19,21,36,48
974,24.502200000000016,3,3,29,11,64,54
355,9.88839999999999,3,3,29,21,8,42
1378,51.94840000000002,2,2,14,18,16,52
487,19.7098,5,4,25,8,57,27
256,8.290599999999955,2,2,28,20,42,8
965,19.54389999999998,7,0,9,11,75,7
1461,57.860299999999995,1,3,25,17,74,10
1214,50.25200000000001,4,6,1,11,53,48
354,34.0667,1,6,21,21,50,6
169,9.410200000000003,5,4,25,9,48,50
439,10.641700000000014,1,4,26,17,22,34
505,33.75819999999999,5,1,29,15,1,78
432,23.65299999999999,1,6,21,13,78,35
426,13.126100000000008,7,6,1,10,73,44
141,13.674800000000005,5,0,14,15,12,72
111,13.301900000000018,2,1,20,3,57,20
85,3.7745000000000175,4,1,10,19,75,75
1699,10.86930000000001,1,2,17,16,76,52
1574,46.05550000000002,7,5,7,14,73,59
701,43.17130000000003,6,4,22,19,70,66
428,29.651299999999964,1,0,22,10,41,72
44,5.320100000000025,1,0,22,0,22,12
441,29.301000000000016,1,0,29,17,61,26
518,27.148000000000053,5,1,22,12,7,59
315,12.192500000000052,2,3,15,13,14,23
549,27.307799999999958,4,1,24,17,39,7
251,21.059300000000007,4,4,6,22,12,32
297,17.42300000000003,2,0,12,22,15,9
1885,0.12590000000000146,3,6,18,13,72,72
728,30.580499999999972,4,0,23,12,7,21
199,6.796100000000052,3,0,12,14,3,56
571,21.870599999999996,1,1,23,12,42,49
309,14.840300000000013,3,4,9,15,17,39
487,16.946500000000043,4,3,26,10,56,76
228,9.48429999999999,5,6,20,12,79,36
1175,91.68169999999998,7,3,5,9,78,4
167,7.177400000000006,2,3,15,18,60,16
940,81.00740000000002,2,5,17,19,12,20
582,35.02789999999996,2,4,16,23,30,75
263,17.047799999999995,6,0,25,15,27,51
600,35.58220000000006,4,5,21,18,24,40
773,32.1669,4,5,28,19,5,70
821,28.125500000000017,2,4,16,11,3,55
538,23.55340000000001,6,0,25,8,38,61
944,53.51220000000001,5,6,20,7,45,2
398,23.091800000000035,5,1,22,10,51,78
935,28.16069999999999,7,0,9,16,73,30
401,11.421400000000034,5,5,26,12,44,22
946,38.97899999999996,5,3,3,11,10,31
146,9.143200000000007,1,0,22,14,29,57
237,13.548299999999983,2,4,16,9,19,2
915,74.18690000000001,5,1,1,3,62,18
884,83.22729999999999,2,5,3,20,72,79
262,13.576800000000048,4,6,1,23,15,49
380,13.90670000000003,4,3,5,19,80,53
324,26.190999999999974,3,2,21,20,60,41
511,27.649200000000008,5,5,19,23,39,79
46,6.693999999999932,3,5,10,4,13,13
896,40.03899999999999,4,0,30,16,27,48
596,42.11359999999999,6,3,21,20,24,52
333,15.182700000000011,4,0,9,23,12,5
867,42.99189999999999,4,1,10,22,58,4
757,23.5634,6,4,8,10,78,55
119,5.528899999999965,3,6,11,21,29,57
1057,65.88999999999999,4,6,8,2,58,19
744,61.922000000000025,4,2,18,22,55,32
181,8.40130000000002,4,5,7,17,54,67
136,10.875000000000028,1,1,30,11,34,41
470,40.176300000000026,4,1,3,11,1,56
595,28.286899999999974,4,5,14,15,28,64
457,30.769000000000005,2,0,19,19,60,71
575,35.38809999999998,4,6,15,12,24,78
433,14.485600000000005,3,0,12,13,41,5
287,20.38689999999997,2,5,17,10,54,64
225,12.634999999999991,6,0,4,7,45,24
542,17.955900000000042,4,5,21,17,64,34
480,28.434200000000004,3,1,20,18,72,41
392,9.652399999999943,3,3,15,21,24,10
676,31.446900000000028,3,5,10,21,39,48
744,22.435299999999984,7,2,4,19,44,58
244,16.42199999999994,3,6,4,6,45,1
465,23.523299999999978,5,1,29,11,45,43
384,15.682999999999993,7,4,6,19,14,28
237,14.223000000000013,4,2,18,9,43,44
407,26.927899999999994,3,6,18,1,64,15
297,24.960099999999983,4,6,8,18,36,57
526,22.332899999999995,6,4,22,23,65,67
992,48.46440000000001,1,4,19,8,66,49
312,29.100199999999973,3,4,16,20,10,3
459,19.585600000000028,5,3,10,18,52,25
433,17.75120000000001,2,3,8,19,42,1
220,6.269499999999965,5,4,11,8,59,15
927,81.92810000000003,4,0,23,2,62,50
1679,53.133099999999956,4,5,21,11,34,28
360,21.632300000000043,3,3,22,9,38,53
228,5.672200000000004,3,5,31,18,71,17
380,22.477900000000005,2,4,23,12,39,50
104,8.908199999999994,5,2,2,21,15,59
498,23.56789999999998,6,6,24,19,54,51
314,22.70580000000001,5,0,28,9,28,53
638,34.446500000000015,6,1,19,1,74,16
670,36.58299999999997,6,0,4,18,38,45
774,62.56869999999998,3,3,8,23,45,48
983,33.82759999999996,4,6,8,11,1,23
525,14.16470000000001,2,6,18,19,24,77
933,42.86080000000001,6,6,3,23,75,50
663,28.183600000000013,7,6,8,23,80,73
471,37.18520000000001,2,2,21,14,39,48
1189,15.882300000000015,1,2,17,7,2,52
123,7.044400000000024,3,4,2,3,10,18
709,28.926299999999998,6,3,14,15,52,35
455,25.8502,6,4,22,18,22,14
85,9.538800000000037,5,5,26,8,26,55
590,24.278800000000018,6,2,20,9,66,41
556,19.929900000000004,2,3,1,12,34,73
545,24.633199999999988,4,3,12,13,66,4
347,23.884999999999962,2,5,24,6,16,24
353,27.287000000000006,6,0,11,13,49,37
243,13.864500000000021,3,4,16,21,36,79
427,8.243799999999993,6,6,17,14,7,77
506,23.005200000000002,2,4,23,18,16,65
167,13.500099999999946,1,2,17,17,65,54
1010,61.78229999999999,5,1,1,17,14,32
447,11.270100000000014,2,6,11,9,16,7
474,12.545099999999962,3,3,1,12,25,35
135,7.574099999999987,3,6,4,6,55,35
946,23.83009999999996,5,6,6,12,43,45
182,13.149099999999976,1,5,27,22,76,63
447,18.627400000000023,1,5,27,16,67,1
1644,87.36280000000002,6,1,5,19,29,68
487,29.807699999999954,5,2,9,22,52,57
201,12.84559999999999,3,4,23,23,46,45
217,11.260699999999986,4,2,11,23,2,37
936,33.65269999999998,2,5,17,9,49,12
190,7.359399999999994,3,3,29,21,11,67
701,52.25570000000002,3,6,4,20,4,46
141,8.372899999999987,6,2,6,18,73,73
505,28.55189999999996,5,2,9,10,48,26
336,17.420500000000004,4,0,23,14,74,66
348,10.738200000000006,7,5,14,20,40,2
948,48.87900000000002,6,1,12,18,10,58
117,12.113899999999973,3,2,28,12,29,27
303,25.545199999999966,4,0,2,11,40,15
173,9.834900000000005,7,4,13,18,37,71
976,55.05930000000001,5,4,4,20,15,72
638,39.697100000000006,4,3,19,18,71,57
147,13.188299999999998,2,5,10,6,1,35
281,22.00180000000006,5,5,19,21,38,18
445,14.805100000000039,1,0,15,14,46,45
502,15.220399999999984,3,6,11,19,41,70
835,49.34230000000002,6,5,2,21,12,28
265,10.807300000000026,3,2,21,20,74,66
1189,107.04839999999999,3,1,20,2,41,33
670,34.4512,6,0,4,15,35,46
671,13.456300000000027,5,0,14,13,64,24
496,27.336600000000004,1,5,27,17,37,48
2606,57.96439999999998,5,5,19,12,18,74
709,28.784299999999973,5,3,31,12,1,78
748,28.03910000000002,3,3,8,15,16,14
420,18.42629999999997,6,3,21,18,27,51
669,23.744799999999998,7,4,13,12,35,7
475,37.79599999999999,5,1,8,22,39,44
590,27.10889999999995,4,0,16,13,44,5
256,15.529200000000003,1,2,24,20,18,24
989,28.25000000000003,2,4,23,9,78,54
774,35.334,2,5,17,7,61,39
544,23.726499999999987,1,4,19,16,2,65
188,17.881500000000017,4,5,14,22,74,32
637,38.16290000000001,6,1,5,9,23,51
276,13.488200000000035,5,5,19,15,60,54
741,44.64490000000001,2,6,25,9,36,14
562,31.56480000000002,2,0,12,23,65,27
1421,19.623699999999985,2,4,2,10,70,43
137,6.011700000000019,6,0,25,20,36,36
681,31.907599999999974,7,6,8,20,43,10
841,27.5522,4,4,27,16,68,34
693,35.16850000000005,4,0,23,17,61,57
493,38.51479999999995,1,6,14,23,24,8
50,5.156000000000034,2,0,26,0,57,69
362,19.559500000000043,5,1,15,19,15,7
867,44.62380000000002,4,6,15,15,16,56
699,19.61129999999997,6,1,19,15,76,27
558,36.257600000000025,5,3,17,6,27,2
476,33.657099999999986,6,5,9,12,29,80
171,16.370800000000003,5,5,5,0,80,23
313,6.0312000000000126,5,6,27,7,48,50
499,21.825800000000015,3,5,31,13,70,80
38,8.483300000000042,6,5,16,19,49,7
193,19.05540000000005,5,5,19,5,68,42
906,30.99679999999998,2,1,6,12,38,35
393,21.193600000000004,4,5,7,9,17,15
593,25.236700000000013,4,5,28,8,44,75
364,20.324599999999975,6,1,12,14,59,65
425,15.608699999999999,1,4,26,8,61,48
290,23.79940000000005,6,4,15,6,6,63
100,7.583000000000055,7,1,3,22,58,42
763,35.45930000000001,3,2,28,9,70,25
851,23.691699999999997,4,6,8,17,77,11
80,7.548599999999965,5,3,3,10,61,13
946,38.25599999999997,4,1,17,13,23,22
119,5.6813999999999965,3,4,30,9,41,44
966,35.623500000000035,5,3,10,10,78,24
340,27.25770000000003,3,0,26,17,38,47
135,10.62560000000002,5,1,15,8,71,2
241,14.30970000000002,2,2,21,16,45,18
203,15.2166,1,1,16,2,34,41
592,40.31299999999999,6,4,8,19,63,18
405,23.390299999999968,7,5,7,8,58,41
343,24.0728,1,2,17,20,64,9
184,9.618500000000012,3,0,12,18,36,53
597,47.23219999999995,4,0,2,2,35,5
1137,62.54829999999998,4,6,22,12,43,63
617,23.297000000000025,7,0,2,8,28,1
240,16.0873,3,4,2,6,76,48
1093,48.447299999999984,7,4,6,21,64,51
829,24.989900000000034,6,3,7,18,55,53
112,9.45150000000001,5,4,25,1,39,15
609,30.822400000000016,2,1,20,1,43,22
1737,28.254599999999982,2,3,15,11,42,10
1103,71.30959999999996,3,0,12,0,11,6
188,15.35560000000001,6,0,25,23,16,42
840,66.25949999999997,7,6,8,22,33,79
196,12.438000000000017,6,1,12,11,18,65
1270,40.07170000000002,5,3,10,17,52,21
